Collection_Date,Site_ID,Precip_Accum
10/27/2022,RC_01,16.355125
11/13/2022,RC_01,48.301849
3/16/2023,RC_01,46.199951
6/29/2023,RC_01,153.297424
8/8/2023,RC_01,0.2567
8/26/2023,RC_01,12.906349
9/7/2023,RC_01,52.333118
10/12/2023,RC_01,4.669495
12/3/2022,IB_01,13.423996
12/19/2022,IB_01,43.359909
1/2/2023,IB_01,39.458382
2/1/2023,IB_01,36.156258
2/15/2023,IB_01,17.913754
3/1/2023,IB_01,18.27412
10/27/2022,RC_02,19.154
11/13/2022,RC_02,64.995071
5/16/2023,RC_02,162.723969
6/11/2023,RC_02,0.184072
6/29/2023,RC_02,5.050259
8/8/2023,RC_02,8.023733
8/26/2023,RC_02,15.326334
9/7/2023,RC_02,47.227013
9/28/2023,RC_02,0.05864
10/12/2023,RC_02,5.679108
12/3/2022,IB_02,17.318
12/19/2022,IB_02,62.192715
1/2/2023,IB_02,42.536816
2/1/2023,IB_02,35.781296
2/15/2023,IB_02,24.216751
3/1/2023,IB_02,23.459167
3/16/2023,IB_02,55.418404
10/27/2022,RC_03,19.251
12/3/2022,RC_03,64.73761
5/16/2023,RC_03,151.331161
6/29/2023,RC_03,3.848595
8/8/2023,RC_03,0.503471
8/26/2023,RC_03,13.719391
9/7/2023,RC_03,39.400574
9/28/2023,RC_03,0.088737
10/12/2023,RC_03,5.735954
12/18/2022,IB_03,48.169868
1/2/2023,IB_03,45.339401
2/1/2023,IB_03,32.305359
2/15/2023,IB_03,19.709385
3/1/2023,IB_03,20.214146
3/5/2023,IB_03,2.939194
3/16/2023,IB_03,55.923088
10/27/2022,RC_04,29.08901
12/6/2022,RC_04,116.343292
5/16/2023,RC_04,86.314888
6/11/2023,RC_04,0.362011
6/29/2023,RC_04,10.582813
8/8/2023,RC_04,4.466019
8/26/2023,RC_04,25.912544
9/7/2023,RC_04,45.261559
9/28/2023,RC_04,0.003994
10/12/2023,RC_04,3.648071
12/18/2022,IB_04,45.61499
2/1/2023,IB_04,95.677025
2/15/2023,IB_04,15.477129
3/1/2023,IB_04,17.266794
3/16/2023,IB_04,71.482162
4/5/2023,IB_04,76.807884
10/27/2022,RC_05,49.793
6/11/2023,RC_05,105.282356
6/29/2023,RC_05,21.55835
8/8/2023,RC_05,0.299953
8/26/2023,RC_05,21.543762
9/7/2023,RC_05,59.958672
9/28/2023,RC_05,0.003094
10/12/2023,RC_05,4.320072
12/18/2022,IB_05,270.638
1/2/2023,IB_05,118.891205
1/11/2023,IB_05,23.908684
1/18/2023,IB_05,9.323349
2/1/2023,IB_05,19.366997
2/15/2023,IB_05,34.24144
3/9/2023,IB_05,118.217422
3/16/2023,IB_05,91.043274
4/5/2023,IB_05,147.135254
10/27/2022,RC_06,55.1446
12/7/2022,RC_06,208.284332
5/31/2023,RC_06,112.763565
6/11/2023,RC_06,1.359642
6/29/2023,RC_06,21.053226
8/8/2023,RC_06,0.424004
8/26/2023,RC_06,23.428642
9/7/2023,RC_06,55.315945
9/28/2023,RC_06,0.006596
10/12/2023,RC_06,5.059513
12/18/2022,IB_06,62.353
1/2/2023,IB_06,118.891205
1/11/2023,IB_06,23.908684
1/18/2023,IB_06,9.323349
2/1/2023,IB_06,19.366997
2/15/2023,IB_06,34.24144
3/9/2023,IB_06,118.217422
3/16/2023,IB_06,91.043274
4/5/2023,IB_06,147.135254
10/27/2022,RC_07,52.303
5/31/2023,RC_07,113.441116
6/11/2023,RC_07,1.490913
6/29/2023,RC_07,20.823378
8/8/2023,RC_07,1.147568
8/26/2023,RC_07,25.275362
9/7/2023,RC_07,49.651596
9/28/2023,RC_07,0.006882
10/12/2023,RC_07,5.099243
12/14/2022,IB_07,281.597
12/18/2022,IB_07,1.212624
1/5/2023,IB_07,129.743011
1/11/2023,IB_07,24.866226
1/18/2023,IB_07,10.530354
2/1/2023,IB_07,19.462662
2/15/2023,IB_07,36.360985
3/9/2023,IB_07,128.967987
3/16/2023,IB_07,97.830261
4/5/2023,IB_07,144.868713
11/11/2022,RC_08,187.996292
6/29/2023,RC_08,292.918121
8/26/2023,RC_08,25.837671
11/3/2023,RC_08,61.495113
12/9/2022,IB_08,119.747322
12/14/2022,IB_08,47.011429
1/5/2023,IB_08,141.517929
1/11/2023,IB_08,26.781649
2/1/2023,IB_08,36.978539
3/9/2023,IB_08,126.791206
3/18/2023,IB_08,116.332909
11/11/2022,RC_09,184.167328
6/29/2023,RC_09,148.049637
8/26/2023,RC_09,29.284157
11/3/2023,RC_09,62.803799
12/9/2022,IB_09,119.747
12/14/2022,IB_09,47.011429
1/5/2023,IB_09,141.517929
1/11/2023,IB_09,26.781649
2/1/2023,IB_09,36.978539
3/9/2023,IB_09,126.791206
3/18/2023,IB_09,116.332909
4/5/2023,IB_09,158.229279
11/11/2022,RC_10,200.35231
6/29/2023,RC_10,170.47464
8/26/2023,RC_10,34.771194
11/3/2023,RC_10,66.537857
12/9/2022,IB_10,125.373451
12/14/2022,IB_10,64.675972
2/1/2023,IB_10,219.538528
3/9/2023,IB_10,147.122681
3/18/2023,IB_10,129.302261
4/5/2023,IB_10,171.181778
